Date,Time,DateTime,Zone,DayOfWeekNumber,DayOfWeek,Hour,Weather,Temperature_C,Rainfall_mm,Ride_Requests,Available_Vehicles,Expected_Demand,Demand_Supply_Gap
2026-01-01,00:00,2026-01-01 00:00:00,Central Business District,3,Thursday,0,Sunny,27.8,0.0,44,54,45,-9
2026-01-01,00:00,2026-01-01 00:00:00,Airport,3,Thursday,0,Sunny,27.8,0.0,26,41,27,-14
2026-01-01,00:00,2026-01-01 00:00:00,Railway Station,3,Thursday,0,Sunny,27.8,0.0,31,35,30,-5
2026-01-01,00:00,2026-01-01 00:00:00,IT Park,3,Thursday,0,Sunny,27.8,0.0,35,57,36,-21
2026-01-01,00:00,2026-01-01 00:00:00,Residential North,3,Thursday,0,Sunny,27.8,0.0,19,36,19,-17
2026-01-01,00:00,2026-01-01 00:00:00,Residential South,3,Thursday,0,Sunny,27.8,0.0,18,30,18,-12
2026-01-01,00:00,2026-01-01 00:00:00,Shopping District,3,Thursday,0,Sunny,27.8,0.0,30,67,32,-35
2026-01-01,00:00,2026-01-01 00:00:00,University Area,3,Thursday,0,Sunny,27.8,0.0,28,25,29,4
2026-01-01,00:00,2026-01-01 00:00:00,Industrial Area,3,Thursday,0,Sunny,27.8,0.0,14,18,14,-4
2026-01-01,00:00,2026-01-01 00:00:00,Bus Terminal,3,Thursday,0,Sunny,27.8,0.0,36,56,37,-19
2026-01-01,01:00,2026-01-01 01:00:00,Central Business District,3,Thursday,1,Sunny,28.8,0.0,46,53,46,-7
2026-01-01,01:00,2026-01-01 01:00:00,Airport,3,Thursday,1,Sunny,28.8,0.0,29,44,31,-13
2026-01-01,01:00,2026-01-01 01:00:00,Railway Station,3,Thursday,1,Sunny,28.8,0.0,38,63,39,-24
2026-01-01,01:00,2026-01-01 01:00:00,IT Park,3,Thursday,1,Sunny,28.8,0.0,33,48,34,-14
2026-01-01,01:00,2026-01-01 01:00:00,Residential North,3,Thursday,1,Sunny,28.8,0.0,16,32,17,-15
2026-01-01,01:00,2026-01-01 01:00:00,Residential South,3,Thursday,1,Sunny,28.8,0.0,17,37,18,-19
2026-01-01,01:00,2026-01-01 01:00:00,Shopping District,3,Thursday,1,Sunny,28.8,0.0,33,53,33,-20
2026-01-01,01:00,2026-01-01 01:00:00,University Area,3,Thursday,1,Sunny,28.8,0.0,23,35,24,-11
2026-01-01,01:00,2026-01-01 01:00:00,Industrial Area,3,Thursday,1,Sunny,28.8,0.0,19,27,19,-8
2026-01-01,01:00,2026-01-01 01:00:00,Bus Terminal,3,Thursday,1,Sunny,28.8,0.0,29,57,30,-27
2026-01-01,02:00,2026-01-01 02:00:00,Central Business District,3,Thursday,2,Sunny,30.0,0.0,31,41,32,-9
2026-01-01,02:00,2026-01-01 02:00:00,Airport,3,Thursday,2,Sunny,30.0,0.0,28,39,28,-11
2026-01-01,02:00,2026-01-01 02:00:00,Railway Station,3,Thursday,2,Sunny,30.0,0.0,38,55,38,-17
2026-01-01,02:00,2026-01-01 02:00:00,IT Park,3,Thursday,2,Sunny,30.0,0.0,35,55,37,-18
2026-01-01,02:00,2026-01-01 02:00:00,Residential North,3,Thursday,2,Sunny,30.0,0.0,22,31,23,-8
2026-01-01,02:00,2026-01-01 02:00:00,Residential South,3,Thursday,2,Sunny,30.0,0.0,27,36,28,-8
2026-01-01,02:00,2026-01-01 02:00:00,Shopping District,3,Thursday,2,Sunny,30.0,0.0,31,46,32,-14
2026-01-01,02:00,2026-01-01 02:00:00,University Area,3,Thursday,2,Sunny,30.0,0.0,21,38,22,-16
2026-01-01,02:00,2026-01-01 02:00:00,Industrial Area,3,Thursday,2,Sunny,30.0,0.0,24,39,25,-14
2026-01-01,02:00,2026-01-01 02:00:00,Bus Terminal,3,Thursday,2,Sunny,30.0,0.0,31,39,32,-7
2026-01-01,03:00,2026-01-01 03:00:00,Central Business District,3,Thursday,3,Sunny,32.4,0.0,51,72,51,-21
2026-01-01,03:00,2026-01-01 03:00:00,Airport,3,Thursday,3,Sunny,32.4,0.0,38,61,38,-23
2026-01-01,03:00,2026-01-01 03:00:00,Railway Station,3,Thursday,3,Sunny,32.4,0.0,55,83,56,-27
2026-01-01,03:00,2026-01-01 03:00:00,IT Park,3,Thursday,3,Sunny,32.4,0.0,39,47,41,-6
2026-01-01,03:00,2026-01-01 03:00:00,Residential North,3,Thursday,3,Sunny,32.4,0.0,31,55,32,-23
2026-01-01,03:00,2026-01-01 03:00:00,Residential South,3,Thursday,3,Sunny,32.4,0.0,36,36,38,2
2026-01-01,03:00,2026-01-01 03:00:00,Shopping District,3,Thursday,3,Sunny,32.4,0.0,43,55,43,-12
2026-01-01,03:00,2026-01-01 03:00:00,University Area,3,Thursday,3,Sunny,32.4,0.0,25,41,25,-16
2026-01-01,03:00,2026-01-01 03:00:00,Industrial Area,3,Thursday,3,Sunny,32.4,0.0,26,38,27,-11
2026-01-01,03:00,2026-01-01 03:00:00,Bus Terminal,3,Thursday,3,Sunny,32.4,0.0,37,59,39,-20
2026-01-01,04:00,2026-01-01 04:00:00,Central Business District,3,Thursday,4,Sunny,31.8,0.0,51,62,54,-8
2026-01-01,04:00,2026-01-01 04:00:00,Airport,3,Thursday,4,Sunny,31.8,0.0,44,67,46,-21
2026-01-01,04:00,2026-01-01 04:00:00,Railway Station,3,Thursday,4,Sunny,31.8,0.0,45,51,45,-6
2026-01-01,04:00,2026-01-01 04:00:00,IT Park,3,Thursday,4,Sunny,31.8,0.0,43,50,44,-6
2026-01-01,04:00,2026-01-01 04:00:00,Residential North,3,Thursday,4,Sunny,31.8,0.0,26,50,27,-23
2026-01-01,04:00,2026-01-01 04:00:00,Residential South,3,Thursday,4,Sunny,31.8,0.0,24,56,26,-30
2026-01-01,04:00,2026-01-01 04:00:00,Shopping District,3,Thursday,4,Sunny,31.8,0.0,46,66,47,-19
2026-01-01,04:00,2026-01-01 04:00:00,University Area,3,Thursday,4,Sunny,31.8,0.0,25,49,26,-23
2026-01-01,04:00,2026-01-01 04:00:00,Industrial Area,3,Thursday,4,Sunny,31.8,0.0,25,42,27,-15
2026-01-01,04:00,2026-01-01 04:00:00,Bus Terminal,3,Thursday,4,Sunny,31.8,0.0,48,68,49,-19
