Date,Time,Location,Ride Request,Available Vehicles,Completed Rides,Cancelled Rides,Average Wait Time,Surge Multiplier
2026-01-01,06:00,Chennai Central,117,128,100,17,5.7,1.1
2026-01-01,06:00,T Nagar,216,114,184,32,8.4,1.6
2026-01-01,06:00,Anna Nagar,99,80,89,10,4.4,1.3
2026-01-01,06:00,Adyar,153,96,128,25,5.5,1.3
2026-01-01,06:00,Velachery,117,88,95,22,4.9,1.3
2026-01-01,06:00,Guindy,158,176,128,30,6.3,1.0
2026-01-01,06:00,OMR,140,90,129,11,6.5,1.3
2026-01-01,06:00,Tambaram,72,147,61,11,5.7,1.0
2026-01-01,06:00,Porur,98,91,90,8,6.4,1.1
2026-01-01,06:00,Egmore,150,172,133,17,6.2,1.0
2026-01-01,08:00,Chennai Central,262,140,238,24,6.2,1.3
2026-01-01,08:00,T Nagar,288,149,262,26,8.2,1.5
2026-01-01,08:00,Anna Nagar,239,145,200,39,7.7,1.6
2026-01-01,08:00,Adyar,236,116,224,12,7.4,1.5
2026-01-01,08:00,Velachery,280,82,260,20,10.2,1.8
2026-01-01,08:00,Guindy,204,160,183,21,6.8,1.3
2026-01-01,08:00,OMR,266,133,248,18,7.2,1.3
2026-01-01,08:00,Tambaram,203,144,188,15,5.1,1.2
2026-01-01,08:00,Porur,218,159,174,44,4.7,1.3
2026-01-01,08:00,Egmore,278,98,258,20,9.3,1.5
2026-01-01,10:00,Chennai Central,195,172,176,19,5.6,1.2
2026-01-01,10:00,T Nagar,172,71,154,18,7.2,2.0
2026-01-01,10:00,Anna Nagar,99,162,87,12,3.2,1.0
2026-01-01,10:00,Adyar,124,156,111,13,5.2,1.1
2026-01-01,10:00,Velachery,171,74,153,18,6.0,1.8
2026-01-01,10:00,Guindy,211,76,200,11,9.6,1.5
2026-01-01,10:00,OMR,101,74,81,20,5.9,1.1
2026-01-01,10:00,Tambaram,100,78,89,11,6.1,1.1
2026-01-01,10:00,Porur,141,124,121,20,4.6,1.2
2026-01-01,10:00,Egmore,161,94,142,19,7.7,1.5
2026-01-01,12:00,Chennai Central,81,185,66,15,4.4,1.0
2026-01-01,12:00,T Nagar,126,188,103,23,5.5,1.0
2026-01-01,12:00,Anna Nagar,82,86,69,13,3.9,1.0
2026-01-01,12:00,Adyar,83,84,77,6,6.5,1.0
2026-01-01,12:00,Velachery,90,131,70,20,3.3,1.0
2026-01-01,12:00,Guindy,158,162,142,16,3.1,1.0
2026-01-01,12:00,OMR,136,125,113,23,6.4,1.1
2026-01-01,12:00,Tambaram,65,195,61,4,3.1,1.0
2026-01-01,12:00,Porur,114,98,92,22,5.8,1.3
2026-01-01,12:00,Egmore,56,170,46,10,4.4,1.1
2026-01-01,14:00,Chennai Central,117,173,100,17,3.7,1.0
2026-01-01,14:00,T Nagar,157,187,137,20,6.2,1.0
2026-01-01,14:00,Anna Nagar,136,138,120,16,3.5,1.0
2026-01-01,14:00,Adyar,126,118,100,26,3.6,1.3
2026-01-01,14:00,Velachery,89,86,75,14,4.7,1.3
2026-01-01,14:00,Guindy,112,190,105,7,3.2,1.1
2026-01-01,14:00,OMR,113,82,99,14,5.5,1.3
2026-01-01,14:00,Tambaram,54,117,47,7,3.3,1.0
2026-01-01,14:00,Porur,63,177,55,8,3.5,1.0
2026-01-01,14:00,Egmore,134,128,120,14,5.7,1.3
2026-01-01,16:00,Chennai Central,170,177,141,29,5.4,1.1
2026-01-01,16:00,T Nagar,145,99,131,14,6.9,1.2
2026-01-01,16:00,Anna Nagar,114,74,106,8,4.8,1.3
2026-01-01,16:00,Adyar,142,81,113,29,6.7,1.3
2026-01-01,16:00,Velachery,200,131,167,33,6.4,1.5
2026-01-01,16:00,Guindy,103,185,92,11,4.8,1.0
2026-01-01,16:00,OMR,91,147,79,12,6.4,1.0
2026-01-01,16:00,Tambaram,151,93,118,33,6.5,1.3
2026-01-01,16:00,Porur,132,158,103,29,3.8,1.0
2026-01-01,16:00,Egmore,104,150,86,18,4.1,1.1
2026-01-01,18:00,Chennai Central,310,149,251,59,7.3,1.8
