Date,Time,DateTime,Zone,Demand,Available_Vehicles,Weather,Avg_Delay_Min
2026-01-01,00:00,2026-01-01 00:00:00,Central,107,266,Clear,5.4
2026-01-01,00:00,2026-01-01 00:00:00,North,93,179,Cloudy,6.8
2026-01-01,00:00,2026-01-01 00:00:00,South,91,202,Clear,2.0
2026-01-01,00:00,2026-01-01 00:00:00,East,72,133,Clear,5.5
2026-01-01,00:00,2026-01-01 00:00:00,West,72,149,Clear,4.1
2026-01-01,01:00,2026-01-01 01:00:00,Central,123,255,Clear,5.2
2026-01-01,01:00,2026-01-01 01:00:00,North,80,196,Cloudy,6.4
2026-01-01,01:00,2026-01-01 01:00:00,South,90,213,Clear,3.4
2026-01-01,01:00,2026-01-01 01:00:00,East,63,150,Clear,3.1
2026-01-01,01:00,2026-01-01 01:00:00,West,87,159,Clear,5.3
2026-01-01,02:00,2026-01-01 02:00:00,Central,155,273,Heavy Rain,13.5
2026-01-01,02:00,2026-01-01 02:00:00,North,69,179,Clear,6.6
2026-01-01,02:00,2026-01-01 02:00:00,South,86,215,Clear,5.9
2026-01-01,02:00,2026-01-01 02:00:00,East,74,135,Cloudy,5.5
2026-01-01,02:00,2026-01-01 02:00:00,West,77,188,Rain,8.7
2026-01-01,03:00,2026-01-01 03:00:00,Central,113,272,Clear,7.0
2026-01-01,03:00,2026-01-01 03:00:00,North,86,183,Rain,10.5
2026-01-01,03:00,2026-01-01 03:00:00,South,104,213,Cloudy,8.3
2026-01-01,03:00,2026-01-01 03:00:00,East,62,145,Clear,2.9
2026-01-01,03:00,2026-01-01 03:00:00,West,86,172,Clear,5.5
2026-01-01,04:00,2026-01-01 04:00:00,Central,110,271,Clear,4.7
2026-01-01,04:00,2026-01-01 04:00:00,North,79,195,Clear,5.5
2026-01-01,04:00,2026-01-01 04:00:00,South,122,215,Rain,8.5
2026-01-01,04:00,2026-01-01 04:00:00,East,70,141,Clear,2.8
2026-01-01,04:00,2026-01-01 04:00:00,West,68,179,Rain,8.4
2026-01-01,05:00,2026-01-01 05:00:00,Central,114,260,Clear,5.6
2026-01-01,05:00,2026-01-01 05:00:00,North,75,201,Clear,5.0
2026-01-01,05:00,2026-01-01 05:00:00,South,82,214,Clear,8.7
2026-01-01,05:00,2026-01-01 05:00:00,East,69,142,Clear,4.1
2026-01-01,05:00,2026-01-01 05:00:00,West,74,188,Clear,6.1
2026-01-01,06:00,2026-01-01 06:00:00,Central,109,279,Clear,7.1
2026-01-01,06:00,2026-01-01 06:00:00,North,93,172,Clear,4.2
2026-01-01,06:00,2026-01-01 06:00:00,South,109,224,Clear,5.0
2026-01-01,06:00,2026-01-01 06:00:00,East,62,133,Clear,5.7
2026-01-01,06:00,2026-01-01 06:00:00,West,85,173,Cloudy,5.4
2026-01-01,07:00,2026-01-01 07:00:00,Central,263,233,Clear,4.8
2026-01-01,07:00,2026-01-01 07:00:00,North,254,187,Rain,12.2
2026-01-01,07:00,2026-01-01 07:00:00,South,261,185,Rain,14.4
2026-01-01,07:00,2026-01-01 07:00:00,East,174,113,Clear,9.3
2026-01-01,07:00,2026-01-01 07:00:00,West,207,152,Clear,7.0
2026-01-01,08:00,2026-01-01 08:00:00,Central,287,208,Clear,10.9
2026-01-01,08:00,2026-01-01 08:00:00,North,220,145,Clear,10.3
2026-01-01,08:00,2026-01-01 08:00:00,South,245,197,Clear,8.3
2026-01-01,08:00,2026-01-01 08:00:00,East,174,121,Cloudy,7.8
2026-01-01,08:00,2026-01-01 08:00:00,West,202,146,Clear,9.9
2026-01-01,09:00,2026-01-01 09:00:00,Central,296,220,Clear,13.3
2026-01-01,09:00,2026-01-01 09:00:00,North,184,169,Clear,5.9
2026-01-01,09:00,2026-01-01 09:00:00,South,228,179,Clear,8.8
2026-01-01,09:00,2026-01-01 09:00:00,East,156,133,Clear,5.6
2026-01-01,09:00,2026-01-01 09:00:00,West,200,143,Clear,9.4
2026-01-01,10:00,2026-01-01 10:00:00,Central,217,263,Clear,5.9
2026-01-01,10:00,2026-01-01 10:00:00,North,165,185,Clear,3.3
2026-01-01,10:00,2026-01-01 10:00:00,South,206,226,Rain,7.6
2026-01-01,10:00,2026-01-01 10:00:00,East,126,151,Clear,5.8
2026-01-01,10:00,2026-01-01 10:00:00,West,157,185,Rain,11.2
2026-01-01,11:00,2026-01-01 11:00:00,Central,211,273,Cloudy,7.0
2026-01-01,11:00,2026-01-01 11:00:00,North,150,166,Rain,9.2
2026-01-01,11:00,2026-01-01 11:00:00,South,156,241,Clear,2.2
2026-01-01,11:00,2026-01-01 11:00:00,East,110,146,Clear,3.7
2026-01-01,11:00,2026-01-01 11:00:00,West,133,166,Clear,6.0
2026-01-01,12:00,2026-01-01 12:00:00,Central,252,284,Cloudy,8.0
2026-01-01,12:00,2026-01-01 12:00:00,North,200,160,Heavy Rain,17.5
2026-01-01,12:00,2026-01-01 12:00:00,South,185,193,Rain,7.8
2026-01-01,12:00,2026-01-01 12:00:00,East,129,140,Clear,4.0
2026-01-01,12:00,2026-01-01 12:00:00,West,147,190,Clear,5.6
2026-01-01,13:00,2026-01-01 13:00:00,Central,239,244,Cloudy,5.3
2026-01-01,13:00,2026-01-01 13:00:00,North,141,207,Clear,5.0
2026-01-01,13:00,2026-01-01 13:00:00,South,154,210,Clear,3.1
2026-01-01,13:00,2026-01-01 13:00:00,East,128,161,Clear,4.8
2026-01-01,13:00,2026-01-01 13:00:00,West,135,188,Cloudy,6.0
2026-01-01,14:00,2026-01-01 14:00:00,Central,208,263,Cloudy,7.0
2026-01-01,14:00,2026-01-01 14:00:00,North,150,203,Cloudy,4.1
2026-01-01,14:00,2026-01-01 14:00:00,South,176,214,Clear,5.7
2026-01-01,14:00,2026-01-01 14:00:00,East,130,149,Rain,8.1
2026-01-01,14:00,2026-01-01 14:00:00,West,146,169,Clear,4.1
2026-01-01,15:00,2026-01-01 15:00:00,Central,205,273,Cloudy,6.5
2026-01-01,15:00,2026-01-01 15:00:00,North,141,195,Cloudy,6.8
2026-01-01,15:00,2026-01-01 15:00:00,South,181,213,Rain,9.2
2026-01-01,15:00,2026-01-01 15:00:00,East,108,159,Clear,7.3
2026-01-01,15:00,2026-01-01 15:00:00,West,136,190,Cloudy,6.0
2026-01-01,16:00,2026-01-01 16:00:00,Central,201,272,Clear,4.6
2026-01-01,16:00,2026-01-01 16:00:00,North,178,185,Heavy Rain,15.9
2026-01-01,16:00,2026-01-01 16:00:00,South,147,208,Cloudy,7.8
2026-01-01,16:00,2026-01-01 16:00:00,East,106,153,Cloudy,6.9
2026-01-01,16:00,2026-01-01 16:00:00,West,129,174,Clear,2.0
2026-01-01,17:00,2026-01-01 17:00:00,Central,424,213,Rain,20.1
2026-01-01,17:00,2026-01-01 17:00:00,North,238,173,Clear,7.9
2026-01-01,17:00,2026-01-01 17:00:00,South,307,176,Rain,16.6
2026-01-01,17:00,2026-01-01 17:00:00,East,196,118,Clear,8.3
2026-01-01,17:00,2026-01-01 17:00:00,West,238,152,Clear,11.9
2026-01-01,18:00,2026-01-01 18:00:00,Central,315,223,Clear,9.0
2026-01-01,18:00,2026-01-01 18:00:00,North,226,161,Clear,7.3
2026-01-01,18:00,2026-01-01 18:00:00,South,281,183,Cloudy,9.2
2026-01-01,18:00,2026-01-01 18:00:00,East,192,126,Rain,12.6
2026-01-01,18:00,2026-01-01 18:00:00,West,223,149,Clear,12.5
2026-01-01,19:00,2026-01-01 19:00:00,Central,343,249,Cloudy,10.0
2026-01-01,19:00,2026-01-01 19:00:00,North,232,169,Cloudy,7.3
2026-01-01,19:00,2026-01-01 19:00:00,South,279,156,Clear,11.0
2026-01-01,19:00,2026-01-01 19:00:00,East,156,128,Cloudy,8.4
2026-01-01,19:00,2026-01-01 19:00:00,West,232,133,Clear,13.2
2026-01-01,20:00,2026-01-01 20:00:00,Central,369,220,Rain,17.6
2026-01-01,20:00,2026-01-01 20:00:00,North,207,155,Clear,9.7
2026-01-01,20:00,2026-01-01 20:00:00,South,260,181,Clear,9.7
2026-01-01,20:00,2026-01-01 20:00:00,East,238,124,Heavy Rain,21.3
2026-01-01,20:00,2026-01-01 20:00:00,West,216,129,Cloudy,8.7
2026-01-01,21:00,2026-01-01 21:00:00,Central,126,244,Cloudy,7.9
2026-01-01,21:00,2026-01-01 21:00:00,North,84,209,Clear,5.2
2026-01-01,21:00,2026-01-01 21:00:00,South,123,238,Rain,11.6
2026-01-01,21:00,2026-01-01 21:00:00,East,66,142,Rain,11.2
2026-01-01,21:00,2026-01-01 21:00:00,West,85,187,Clear,2.4
2026-01-01,22:00,2026-01-01 22:00:00,Central,125,260,Clear,5.3
2026-01-01,22:00,2026-01-01 22:00:00,North,77,204,Rain,6.9
2026-01-01,22:00,2026-01-01 22:00:00,South,109,223,Rain,8.6
2026-01-01,22:00,2026-01-01 22:00:00,East,71,120,Heavy Rain,14.9
2026-01-01,22:00,2026-01-01 22:00:00,West,79,174,Cloudy,4.3
2026-01-01,23:00,2026-01-01 23:00:00,Central,122,261,Clear,6.4
2026-01-01,23:00,2026-01-01 23:00:00,North,81,178,Cloudy,4.8
2026-01-01,23:00,2026-01-01 23:00:00,South,91,212,Clear,3.4
2026-01-01,23:00,2026-01-01 23:00:00,East,65,118,Clear,4.8
2026-01-01,23:00,2026-01-01 23:00:00,West,90,166,Rain,9.3
2026-01-02,00:00,2026-01-02 00:00:00,Central,144,254,Rain,7.9
2026-01-02,00:00,2026-01-02 00:00:00,North,87,181,Clear,2.0
2026-01-02,00:00,2026-01-02 00:00:00,South,93,187,Cloudy,7.3
2026-01-02,00:00,2026-01-02 00:00:00,East,67,182,Rain,10.7
2026-01-02,00:00,2026-01-02 00:00:00,West,90,145,Clear,3.8
2026-01-02,01:00,2026-01-02 01:00:00,Central,109,254,Clear,3.4
2026-01-02,01:00,2026-01-02 01:00:00,North,84,195,Clear,6.6
2026-01-02,01:00,2026-01-02 01:00:00,South,101,214,Clear,3.7
2026-01-02,01:00,2026-01-02 01:00:00,East,63,164,Cloudy,5.4
2026-01-02,01:00,2026-01-02 01:00:00,West,73,186,Clear,7.9
2026-01-02,02:00,2026-01-02 02:00:00,Central,117,263,Clear,4.5
2026-01-02,02:00,2026-01-02 02:00:00,North,80,176,Clear,4.3
2026-01-02,02:00,2026-01-02 02:00:00,South,89,207,Clear,2.0
2026-01-02,02:00,2026-01-02 02:00:00,East,90,142,Heavy Rain,13.6
2026-01-02,02:00,2026-01-02 02:00:00,West,103,178,Heavy Rain,13.9
