Transport_ID,TripID,RouteID,StopID,StopName,WeekBeginning,NumberOfBoardings
T1,9445,H30,17336,29 Stradbroke Rd,2014-02-09 00:00:00,1
T2,18322,864,13926,10 Glen Osmond Rd,2014-04-06 00:00:00,1
T3,51667,W91,14754,22A Cashel St,2013-11-24 00:00:00,1
T4,8916,506,11011,53 Murrell Rd,2013-07-21 00:00:00,3
T5,45066,144,13299,C1 North Tce,2013-08-11 00:00:00,3
T6,30145,725,17120,Zone C Old Reynella Interchang,2013-11-24 00:00:00,5
T7,7536,286,16322,21B Tapleys Hill Rd,2014-02-02 00:00:00,1
T8,15133,G10,16275,Z2 King William St,2014-05-25 00:00:00,19
T9,12103,157,12388,Zone B West Lakes Interchange,2014-03-23 00:00:00,8
T10,14245,177,13257,1 Botanic Rd,2014-02-09 00:00:00,1
T11,27521,224F,17962,34U Salisbury Hwy,2014-03-02 00:00:00,1
T12,9180,507,11814,30 North East Rd,2013-10-13 00:00:00,3
T13,13592,262,14982,31 Sturt Rd,2014-02-23 00:00:00,1
T14,20184,506,11434,42 Wright Rd,2014-02-16 00:00:00,4
T15,45716,171,13484,S1 Hutt St,2013-09-08 00:00:00,1
T16,19679,557,12169,25A Darley Rd,2014-06-22 00:00:00,1
T17,10594,209F,12149,21 Hampstead Rd,2014-06-29 00:00:00,1
T18,57305,600B,15328,39A Murrays Hill Rd,2013-10-27 00:00:00,3
T19,31045,861,14040,13 Glen Osmond Rd,2013-08-25 00:00:00,4
T20,49609,B10,12967,22 Grange Rd,2013-10-13 00:00:00,2
T21,57037,300,12276,111 Regency Rd,2014-01-05 00:00:00,3
T22,1203,404,10616,42 Martins Rd,2014-06-01 00:00:00,1
T23,16764,252,16291,U1 Victoria Sq,2013-11-10 00:00:00,4
T24,17065,254,11714,32 Grand Junction Rd,2013-12-08 00:00:00,1
T25,10340,H20,13371,B1 Currie St,2014-05-04 00:00:00,1
T26,51128,J2,13692,13B Simcock St,2013-10-13 00:00:00,2
T27,48441,502,10650,46 Gloucester Rd,2013-12-08 00:00:00,4
T28,45616,170,13548,J1 Hutt St,2013-07-07 00:00:00,1
T29,52970,254,11587,Zone C Port Adelaide Interchan,2013-12-22 00:00:00,7
T30,31134,861,13338,F3 Grenfell St,2013-08-04 00:00:00,24
T31,37859,G22,16289,E1 King William St,2013-08-25 00:00:00,37
T32,28361,300,14076,164 Cross Rd,2013-07-07 00:00:00,2
